video,filament_id,observations,first_frame,last_frame,lifetime_min,mean_length_um,max_length_um,mean_span_length_um,mean_arc_length_um,length_change_rate_um_per_min,arc_trajectory_um,net_displacement_um,directionality,mean_speed_um_per_min,max_speed_um_per_min,speed_std_um_per_min,mean_z_plane_count,max_z_plane_count,z_spread_um,z_center_um,mean_intensity,sum_intensity,max_intensity,start_x_um,start_y_um,start_z_um,end_x_um,end_y_um,end_z_um
ch20_URA7_URA8_001_hyperstack_crop_17,4,8,5,13,120.0,1.4372135295572315,2.365337948495463,1.5458675743846242,2.5278848557482916,-0.009947640997242423,20.223078845986333,1.891461491948077,0.31922166180498446,0.05213624134417041,0.10077336784072649,0.028734407672464664,3.375,4,0.8999999999999999,0.23536431054935722,145.98746871948242,50430.0,181.0,19.65254237288136,23.272881355932203,0.14237288135593218,18.155172413793103,22.117241379310343,0.14482758620689654
ch20_URA7_URA8_001_hyperstack_crop_17,5,9,14,32,270.0,1.4663867133875137,2.19996205257001,1.543760994182175,2.4555204569823386,-0.0010189443243266835,22.099684112841047,0.602222313137132,0.07872796992953042,0.04247837252714294,0.07440770973685856,0.024856133087439444,2.5555555555555554,3,0.6,0.17044540887142076,139.2917734781901,49335.0,167.0,19.15813953488372,22.674418604651162,0.21627906976744182,18.7,23.0,0.0
ch20_URA7_URA8_001_hyperstack_crop_19,2,43,4,49,675.0,2.8531745741570926,5.623693379029026,3.175206340432981,5.880497147936457,-0.00497474385642849,252.86137736126764,3.600585330901869,0.1163545778661897,0.04616537157667685,0.11015255431306455,0.02615797749803633,3.744186046511628,5,1.2,0.30759276593675716,160.55822115166242,813913.0,269.0,23.07254901960784,14.729411764705882,0.2901960784313726,21.299999999999997,17.849999999999998,0.0
ch20_URA7_URA8_001_hyperstack_crop_20,4,30,5,49,660.0,2.132652496935879,4.030968469661129,2.271674044052426,4.829795425923271,0.0010380247067375763,144.89386277769813,1.8636209144812035,0.06883888845234422,0.046130264004268964,0.12115359569831821,0.027829558747500583,2.7666666666666666,4,1.2,0.18252590383043105,150.52004750569662,225797.0,195.0,20.16206896551724,24.444827586206895,0.12413793103448272,19.282978723404256,22.81914893617021,0.3638297872340425
ch20_URA7_URA8_001_hyperstack_crop_21,4,25,14,47,495.0,1.9323023258605918,3.40923800535273,2.1409366918458357,4.217847112342124,0.000552484482389946,105.4461778085531,2.3550477702161383,0.10661084215892827,0.04347164976104445,0.09676505422973809,0.02004660851619191,3.32,5,1.2,0.25313822413535014,147.86626403808594,188177.0,181.0,20.625,21.674999999999997,0.0,19.057142857142853,23.428571428571423,0.11428571428571428
ch20_URA7_URA8_001_hyperstack_crop_22,1,3,0,42,630.0,2.864257396206295,3.1025332165251607,3.2975551188114323,5.679621183764504,-0.0009189298240896311,17.038863551293513,0.9855432057899406,0.9957563262606157,0.001953260379945344,0.0025707236766041447,0.0006174632966588009,5.0,5,1.2,0.5236382435694408,167.48895263671875,121571.0,260.0,19.01038575667656,13.960237388724037,0.63026706231454,18.665625,13.051874999999999,0.465
ch20_URA7_URA8_001_hyperstack_crop_23,1,8,4,23,285.0,3.631760506419924,6.28452677967485,3.9888444990851757,6.893651584487506,-0.005399965946976829,55.149212675900046,3.076285759938442,0.2898638472192236,0.06989351505670435,0.12802901598409241,0.0347185684058789,4.125,5,1.2,0.34899391771747645,192.7899627685547,251440.0,345.0,15.417391304347827,11.152173913043478,0.13043478260869562,17.907692307692308,9.346153846153845,0.11538461538461539
ch20_URA7_URA8_001_hyperstack_crop_23,6,8,29,49,300.0,2.264906475129626,3.4103536524224607,2.383569561882355,4.911892388567793,-0.0004891243330659046,39.295139108542344,1.353450072377711,0.17234048607125155,0.03820738329052757,0.07161142730552046,0.018376089365147473,2.75,4,0.8999999999999999,0.19438797112989747,169.39480018615723,76835.0,256.0,18.308823529411764,24.67941176470588,0.10588235294117646,18.978688524590165,23.522950819672133,0.31967213114754095
ch20_URA7_URA8_001_hyperstack_crop_24,3,28,6,49,645.0,2.16031445204576,4.370398230149126,2.3645188742223437,4.30987262041026,-0.0017480609259923278,120.67643337148729,0.6160266949482724,0.028133007043819217,0.040593041017230276,0.11324127779522179,0.024394037731441963,2.9642857142857144,5,1.2,0.1999820668521415,140.88846915108817,224813.0,175.0,20.5,16.866666666666667,0.25,19.939999999999998,16.61,0.24666666666666662
ch20_URA7_URA8_001_hyperstack_crop_25,3,4,11,47,540.0,2.6224353181813944,4.1968468286366125,2.8692835224121156,4.911388692405408,-0.004310430769834654,19.645554769621633,2.6384137522437445,0.4693167034261509,0.01418345239399065,0.031388334135664164,0.012438191447863218,2.25,3,0.6,0.14069464201043147,150.73777770996094,29229.0,176.0,19.566666666666666,17.07777777777778,0.13333333333333333,17.055405405405406,17.882432432432427,0.2189189189189189
