video,mean_arc_length_um,std_arc_length_um,count,sem,ci95,length_threshold_um
ch20_URA7_URA8_002_hyperstack_crop_10,1.81435702163101,0.8229139238883608,4,0.4114569619441804,0.8064556454105936,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_11,2.1150971862131516,1.0284044432614448,43,0.1568302073210686,0.30738720634929445,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_12,2.505884594715317,1.1311922033147974,37,0.18596685267266852,0.3644950312384303,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_13,2.439172089898953,2.188601974527816,12,0.6317949695712906,1.2383181403597294,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_14,6.7662271904466085,3.728829174951251,11,1.1242842982403447,2.2035972245510758,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_15,4.164850701639625,1.8740026806617853,48,0.2704889880355405,0.5301584165496593,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_16,3.591741116220451,3.8496069071017742,7,1.4550146459354032,2.8518287060333902,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_17,5.187032361514507,3.1766133606295504,57,0.4207527182038968,0.8246753276796377,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_18,6.147001736879686,3.9093929146340938,25,0.7818785829268188,1.5324820225365647,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_19,3.0221228947995535,1.001043030119155,9,0.33368101003971834,0.6540147796778479,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_20,1.9750637057543015,0.016026429975083384,2,0.011332397313592812,0.022211498734641913,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_21,3.059026226319134,1.287113739335456,25,0.2574227478670912,0.5045485858194987,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_22,3.7821493628322793,2.181387539601052,5,0.9755461647637932,1.9120704829370345,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_24,5.681713874315008,3.3495352762250734,20,0.7489788570672798,1.4679985598518686,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_25,3.5460602988468892,1.8066621541836507,30,0.3298498718790873,0.6465057488830112,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_26,3.013654137740727,1.5157142502858776,40,0.2396554656438947,0.4697247126620336,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_27,3.3021476476795826,1.519387171835397,7,0.574274371699746,1.1255777685315023,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_28,3.5604404429689462,2.5052862691096567,15,0.6468621331829209,1.2678497810385247,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_29,6.783552011788786,4.121394458330974,42,0.6359449714356704,1.246452144013914,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_30,4.165322323972528,2.239784749808587,7,0.8465590626155064,1.6592557627263924,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_31,3.2079167670035384,1.2952281674908555,8,0.4579323102083046,0.897547328008277,0.6522577197242748
ch20_URA7_URA8_002_hyperstack_crop_32,4.562111940730135,2.8210654415818737,19,0.6471967985773859,1.2685057252116763,0.6522577197242748
